Id,sustain_app__Data_Source__c,sustain_app__EconomicSectorCategory__c,sustain_app__EconomicSectorCode__c,sustain_app__EconomicSector__c,sustain_app__GhgScope3Category__c,sustain_app__Total_tCO2e_per_Million__c,sustain_app__EmissionFactorScope3Dataset__c,Name,RecordTypeId,sustain_app__EmissionFactorScope3Dataset__r.Name,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
a0F1g000002oOnfEAE,USEEIO v1.2 - https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-technical-content,Machinery,333611,Turbine and turbine generator set units manufacturing,CapitalGoods,6.774025079,a0E1g000004Gh1XEAS,Turbine and turbine generator set units manufacturing,0121g0000026jUXAAY,USEEIO Dataset v1.2  - Validated,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
a0F1g000002oOngEAE,USEEIO v1.2 - https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-technical-content,Machinery,333612,"Speed changer, industrial high-speed drive, and gear manufacturing",CapitalGoods,21.91430897,a0E1g000004Gh1XEAS,"Speed changer, industrial high-speed drive, and gear manufacturing",0121g0000026jUXAAY,USEEIO Dataset v1.2  - Validated,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
a0F1g000002oOnhEAE,USEEIO v1.2 - https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-technical-content,Machinery,333613,Mechanical power transmission equipment manufacturing,CapitalGoods,31.367637,a0E1g000004Gh1XEAS,Mechanical power transmission equipment manufacturing,0121g0000026jUXAAY,USEEIO Dataset v1.2  - Validated,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
a0F1g000002oOniEAE,USEEIO v1.2 - https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-technical-content,Machinery,333618,Other engine equipment manufacturing,CapitalGoods,30.48596931,a0E1g000004Gh1XEAS,Other engine equipment manufacturing,0121g0000026jUXAAY,USEEIO Dataset v1.2  - Validated,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
a0F1g000002oOnjEAE,USEEIO v1.2 - https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-technical-content,Machinery,33391A,Pump and pumping equipment manufacturing,CapitalGoods,7.87433682,a0E1g000004Gh1XEAS,Pump and pumping equipment manufacturing,0121g0000026jUXAAY,USEEIO Dataset v1.2  - Validated,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
a0F1g000002oOnkEAE,USEEIO v1.2 - https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-technical-content,Machinery,333912,Air and gas compressor manufacturing,CapitalGoods,12.75821792,a0E1g000004Gh1XEAS,Air and gas compressor manufacturing,0121g0000026jUXAAY,USEEIO Dataset v1.2  - Validated,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
a0F1g000002oOnlEAE,USEEIO v1.2 - https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-technical-content,Machinery,333920,Material handling equipment manufacturing,CapitalGoods,13.08032017,a0E1g000004Gh1XEAS,Material handling equipment manufacturing,0121g0000026jUXAAY,USEEIO Dataset v1.2  - Validated,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
a0F1g000002oOnmEAE,USEEIO v1.2 - https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-technical-content,Machinery,333991,Power-driven handtool manufacturing,CapitalGoods,7.4466001,a0E1g000004Gh1XEAS,Power-driven handtool manufacturing,0121g0000026jUXAAY,USEEIO Dataset v1.2  - Validated,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
a0F1g000002oOnnEAE,USEEIO v1.2 - https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-technical-content,Machinery,33399A,Other general purpose machinery manufacturing,CapitalGoods,12.61604481,a0E1g000004Gh1XEAS,Other general purpose machinery manufacturing,0121g0000026jUXAAY,USEEIO Dataset v1.2  - Validated,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
a0F1g000002oOnoEAE,USEEIO v1.2 - https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-technical-content,Machinery,333993,Packaging machinery manufacturing,CapitalGoods,7.31835703,a0E1g000004Gh1XEAS,Packaging machinery manufacturing,0121g0000026jUXAAY,USEEIO Dataset v1.2  - Validated,EEIO;sustain_app;sustain_app__EmissionFactorScope3__c
